Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	3.43665
0.004	-0.885253
0.008	-3.62385
0.012	-0.384641
0.016	3.48288
0.02	1.53067
0.024	-3.07583
0.028	-2.5125
0.032	2.12562
0.036	3.19968
0.04	-1.15998
0.044	-3.68341
0.048	-0.0868037
0.052	3.5033
0.056	1.22441
0.06	-3.23108
0.064	-2.3656
0.068	2.3804
0.072	3.02244
0.076	-1.39504
0.08	-3.61122
0.084	0.198561
0.088	3.5969
0.092	0.932458
0.096	-3.28696
0.1	-2.11182
0.104	2.66498
0.108	2.9092
0.112	-1.66531
0.116	-3.46269
0.12	0.461044
0.124	3.69954
0.128	0.66558
0.132	-3.41329
0.136	-1.82965
0.14	2.75729
0.144	2.7774
0.148	-1.96458
0.152	-3.38503
0.156	0.746697
0.16	3.58264
0.164	0.401915
0.168	-3.60567
0.172	-1.58304
0.176	2.91526
0.18	2.50736
0.184	-2.17098
0.188	-3.38019
0.192	1.04782
0.196	3.53954
0.2	0.10497
0.204	-3.60342
0.208	-1.37321
0.212	3.13254
0.216	2.28333
0.22	-2.35914
0.224	-3.15362
0.228	1.33003
0.232	3.57193
0.236	-0.195761
0.24	-3.59638
0.244	-1.06731
0.248	3.29371
0.252	2.11332
0.256	-2.59803
0.26	-2.95402
0.264	1.5469
0.268	3.5059
0.272	-0.489839
0.276	-3.66371
0.28	-0.769567
0.284	3.3224
0.288	1.86679
0.292	-2.88008
0.296	-2.8162
0.3	1.80526
0.304	3.33311
0.308	-0.746104
0.312	-3.7711
0.316	-0.490697
0.32	3.42281
0.324	1.57505
0.328	-2.96194
0.332	-2.68421
0.336	2.09627
0.34	3.22893
0.344	-1.02196
0.348	-3.62881
0.352	-0.225416
0.356	3.5927
0.36	1.31355
0.364	-3.09577
0.368	-2.40116
0.372	2.305
0.376	3.19661
0.38	-1.31901
0.384	-3.55835
0.388	0.0651563
0.392	3.59483
0.396	1.09191
0.4	-3.29234
0.404	-2.15956
0.408	2.47058
0.412	2.97994
0.416	-1.61018
0.42	-3.56309
0.424	0.365243
0.428	3.5597
0.432	0.791336
0.436	-3.46086
0.44	-1.96697
0.444	2.69151
0.448	2.75923
0.452	-1.8078
0.456	-3.50198
0.46	0.665271
0.464	3.59899
0.468	0.490538
0.472	-3.46193
0.476	-1.72545
0.48	2.96068
0.484	2.59791
0.488	-2.0515
0.492	-3.30693
0.496	0.916456
0.5	3.71304
0.504	0.203408
0.508	-3.53638
0.512	-1.42694
0.516	3.0408
0.52	2.46419
0.524	-2.33289
0.528	-3.17656
0.532	1.18022
0.536	3.54528
0.54	-0.0661474
0.544	-3.68148
0.548	-1.153
0.552	3.14925
0.556	2.1714
0.56	-2.54589
0.564	-3.11607
0.568	1.47151
0.572	3.44813
0.576	-0.348324
0.58	-3.68931
0.584	-0.913169
0.588	3.32346
0.592	1.91384
0.596	-2.688
0.6	-2.90689
0.604	1.77353
0.608	3.42396
0.612	-0.645873
0.616	-3.62625
0.62	-0.624326
0.624	3.50009
0.628	1.70139
0.632	-2.88939
0.636	-2.66873
0.64	1.94964
0.644	3.36806
0.648	-0.948319
0.652	-3.638
0.656	-0.322546
0.66	3.47242
0.664	1.4631
0.668	-3.14277
0.672	-2.48392
0.676	2.17551
0.68	3.15182
0.684	-1.19793
0.688	-3.72447
0.692	-0.0280245
0.696	3.51981
0.7	1.16053
0.704	-3.22323
0.708	-2.34758
0.712	2.4455
0.716	2.9978
0.72	-1.44813
0.724	-3.56411
0.728	0.24725
0.732	3.63957
0.736	0.876204
0.74	-3.30628
0.744	-2.04636
0.748	2.66404
0.752	2.90973
0.756	-1.73012
0.76	-3.44074
0.764	0.518255
0.768	3.65358
0.772	0.620165
0.776	-3.45769
0.78	-1.77504
0.784	2.78125
0.788	2.70826
0.792	-2.03596
0.796	-3.38869
0.8	0.810383
0.804	3.56361
0.808	0.339525
0.812	-3.64162
0.816	-1.54284
0.82	2.96138
0.824	2.4532
0.828	-2.19927
0.832	-3.33567
0.836	1.11516
0.84	3.547
0.844	0.0399458
0.848	-3.5869
0.852	-1.30542
0.856	3.19765
0.86	2.24751
0.864	-2.40686
0.868	-3.09969
0.872	1.36413
0.876	3.606
0.88	-0.259438
0.884	-3.60635
0.888	-1.00073
0.892	3.28048
0.896	2.09886
0.9	-2.66244
0.904	-2.92233
0.908	1.59731
0.912	3.45221
0.916	-0.543199
0.92	-3.69969
0.924	-0.708745
0.928	3.33589
0.932	1.798
0.936	-2.88827
0.94	-2.80724
0.944	1.86867
0.948	3.30414
0.952	-0.800771
0.956	-3.71965
0.96	-0.439191
0.964	3.46223
0.968	1.51646
0.972	-2.9798
0.976	-2.61239
0.98	2.16929
0.984	3.22549
0.988	-1.08572
0.992	-3.60266
0.996	-0.165417
