Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0.236	1.75965
0.238	1.77924
0.24	1.78355
0.242	1.77207
0.244	1.74893
0.246	1.71833
0.248	1.68693
0.25	1.65979
0.252	1.64273
0.254	1.63756
0.256	1.64513
0.258	1.6627
0.26	1.68675
0.262	1.71095
0.264	1.7317
0.266	1.74646
0.268	1.75204
0.27	1.74655
0.272	1.7348
0.274	1.71708
0.276	1.69658
0.278	1.6785
0.28	1.66659
0.282	1.66084
0.284	1.66381
0.286	1.67411
0.288	1.6892
0.29	1.70663
0.292	1.72298
0.294	1.73382
0.296	1.73895
0.298	1.73633
0.3	1.72772
0.302	1.71428
0.304	1.69735
0.306	1.67985
0.308	1.66635
0.31	1.65982
0.312	1.66167
0.314	1.67108
0.316	1.6861
0.318	1.70388
0.32	1.72206
0.322	1.73636
0.324	1.74365
0.326	1.74394
0.328	1.73586
0.33	1.71963
0.332	1.70133
0.334	1.6817
0.336	1.66664
0.338	1.65788
0.34	1.65873
0.342	1.66835
0.344	1.68298
0.346	1.70179
0.348	1.71998
0.35	1.73443
0.352	1.74054
0.354	1.73933
0.356	1.73114
0.358	1.71637
0.36	1.69926
0.362	1.68331
0.364	1.67145
0.366	1.66713
0.368	1.66934
0.37	1.67849
0.372	1.69226
0.374	1.70709
0.376	1.72114
0.378	1.72995
0.38	1.73307
0.382	1.72959
0.384	1.7199
0.386	1.70491
0.388	1.68928
0.39	1.67708
0.392	1.6704
0.394	1.67004
0.396	1.67627
0.398	1.68868
0.4	1.70489
0.402	1.71999
0.404	1.73066
0.406	1.7354
0.408	1.73247
0.41	1.72266
0.412	1.70808
0.414	1.6912
0.416	1.67763
0.418	1.66867
0.42	1.66646
0.422	1.67246
0.424	1.68522
0.426	1.70066
0.428	1.71643
0.43	1.72837
0.432	1.73352
0.434	1.7328
0.436	1.72436
0.438	1.71162
0.44	1.69703
0.442	1.68383
0.444	1.67373
0.446	1.67067
0.448	1.67448
0.45	1.68286
0.452	1.69582
0.454	1.70902
0.456	1.72013
0.458	1.72648
0.46	1.72738
0.462	1.72337
0.464	1.71371
0.466	1.70255
0.468	1.69145
0.47	1.68281
0.472	1.67919
0.474	1.67995
0.476	1.68521
0.478	1.69347
0.48	1.70323
0.482	1.7126
0.484	1.71906
0.486	1.72136
0.488	1.71963
0.49	1.71407
0.492	1.70529
0.494	1.69503
0.496	1.68745
0.498	1.68268
0.5	1.6841
0.502	1.68843
0.504	1.69499
0.506	1.70346
0.508	1.71122
0.51	1.71688
0.512	1.71855
0.514	1.7166
0.516	1.71144
0.518	1.70513
0.52	1.69613
0.522	1.68921
0.524	1.68577
0.526	1.6856
0.528	1.68762
0.53	1.69313
0.532	1.69991
0.534	1.70641
0.536	1.71187
0.538	1.71467
0.54	1.71496
0.542	1.71187
0.544	1.70718
0.546	1.7015
0.548	1.69709
0.55	1.69363
0.552	1.69233
0.554	1.69342
0.556	1.69465
0.558	1.69812
0.56	1.70206
0.562	1.70514
0.564	1.70672
0.566	1.70652
0.568	1.70487
0.57	1.70362
0.572	1.70166
0.574	1.69961
0.576	1.69722
0.578	1.69691
0.58	1.69743
0.582	1.69915
0.584	1.70162
0.586	1.70468
0.588	1.70629
0.59	1.70702
0.592	1.70721
0.594	1.70546
0.596	1.70281
0.598	1.70011
0.6	1.69798
0.602	1.69551
0.604	1.69467
0.606	1.69552
0.608	1.69748
0.61	1.69925
0.612	1.70165
0.614	1.70368
0.616	1.70577
0.618	1.70709
0.62	1.70643
0.622	1.70543
0.624	1.7039
0.626	1.70183
0.628	1.7003
0.63	1.69975
0.632	1.69916
0.634	1.69951
0.636	1.70027
0.638	1.69885
0.64	1.6996
0.642	1.70066
0.644	1.70221
0.646	1.70331
0.648	1.70279
0.65	1.70297
0.652	1.70262
0.654	1.70285
0.656	1.70293
0.658	1.70236
0.66	1.70268
0.662	1.70329
0.664	1.70211
0.666	1.70185
0.668	1.703
0.67	1.7029
0.672	1.70404
0.674	1.70361
0.676	1.70337
0.678	1.703
0.68	1.70203
0.682	1.70063
0.684	1.69919
0.686	1.69844
0.688	1.69787
0.69	1.6977
0.692	1.6983
0.694	1.69997
0.696	1.70224
0.698	1.70326
0.7	1.70494
0.702	1.70643
0.704	1.70671
0.706	1.70601
0.708	1.70512
0.71	1.70311
0.712	1.70008
0.714	1.69838
0.716	1.69711
0.718	1.69612
0.72	1.69579
0.722	1.69786
0.724	1.69918
0.726	1.70108
0.728	1.70323
0.73	1.70518
0.732	1.70561
0.734	1.70564
0.736	1.70443
0.738	1.70302
0.74	1.70127
0.742	1.70062
0.744	1.69862
0.746	1.69808
0.748	1.6978
0.75	1.69948
0.752	1.70106
0.754	1.70116
0.756	1.70195
0.758	1.70269
0.76	1.7036
0.762	1.70318
0.764	1.70217
0.766	1.70029
0.768	1.69941
0.77	1.69941
0.772	1.69881
0.774	1.69905
0.776	1.70111
0.778	1.70135
0.78	1.703
0.782	1.70306
0.784	1.70434
0.786	1.70492
0.788	1.7037
0.79	1.70253
0.792	1.70202
0.794	1.70068
0.796	1.69921
0.798	1.69917
0.8	1.69896
0.802	1.70065
0.804	1.70144
0.806	1.70223
0.808	1.7022
0.81	1.70256
0.812	1.70179
0.814	1.70195
0.816	1.70149
0.818	1.70016
0.82	1.69995
0.822	1.70054
0.824	1.70185
0.826	1.70212
0.828	1.70271
0.83	1.70333
0.832	1.70363
0.834	1.70282
0.836	1.70207
0.838	1.70143
0.84	1.70086
0.842	1.69982
0.844	1.69975
0.846	1.69903
0.848	1.69937
0.85	1.70093
0.852	1.70248
0.854	1.70323
0.856	1.70392
0.858	1.70405
0.86	1.70333
0.862	1.70339
0.864	1.70135
0.866	1.70036
0.868	1.6995
0.87	1.69971
0.872	1.69913
0.874	1.699
0.876	1.69977
0.878	1.70126
0.88	1.70226
0.882	1.70336
0.884	1.70371
0.886	1.70409
0.888	1.70369
0.89	1.70194
0.892	1.70066
0.894	1.69962
0.896	1.6993
0.898	1.69942
0.9	1.69944
0.902	1.70025
0.904	1.70164
0.906	1.70219
0.908	1.70353
0.91	1.7025
0.912	1.70242
0.914	1.70314
0.916	1.70289
0.918	1.70245
0.92	1.70114
0.922	1.70182
0.924	1.7008
0.926	1.70069
0.928	1.70133
0.93	1.70082
0.932	1.70054
0.934	1.70136
0.936	1.70204
0.938	1.70264
0.94	1.70192
0.942	1.70073
0.944	1.70034
0.946	1.70027
0.948	1.70102
0.95	1.7011
0.952	1.7008
0.954	1.70131
0.956	1.70193
0.958	1.70091
0.96	1.70203
0.962	1.70147
0.964	1.70156
0.966	1.70156
0.968	1.70229
0.97	1.70259
0.972	1.70241
0.974	1.70228
0.976	1.70149
