Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	2.56368
0.002	2.52057
0.004	2.08431
0.006	1.24546
0.008	0.732619
0.01	0.442517
0.012	0.27332
0.014	0.283372
0.016	0.717822
0.018	1.41207
0.02	1.95591
0.022	2.26572
0.024	2.44273
0.026	2.54686
0.028	2.53843
0.03	2.25957
0.032	1.53145
0.034	0.960904
0.036	0.584217
0.038	0.359232
0.04	0.363483
0.042	0.673197
0.044	1.20856
0.046	1.81224
0.048	2.18689
0.05	2.39789
0.052	2.52089
0.054	2.54869
0.056	2.34748
0.058	1.8142
0.06	1.27772
0.062	0.884417
0.064	0.626105
0.066	0.586421
0.068	0.775645
0.07	1.16082
0.072	1.67066
0.074	2.1082
0.076	2.35315
0.078	2.49506
0.08	2.51423
0.082	2.33583
0.084	1.94405
0.086	1.51007
0.088	1.1833
0.09	0.954432
0.092	0.885038
0.094	0.982453
0.096	1.23047
0.098	1.58006
0.1	1.95767
0.102	2.25178
0.104	2.4167
0.106	2.39647
0.108	2.24683
0.11	1.97459
0.112	1.66298
0.114	1.40774
0.116	1.21951
0.118	1.14104
0.12	1.17738
0.122	1.3254
0.124	1.55396
0.126	1.81564
0.128	2.03531
0.13	2.16817
0.132	2.19758
0.134	2.11634
0.136	1.95033
0.138	1.73806
0.14	1.54009
0.142	1.38855
0.144	1.30968
0.146	1.31564
0.148	1.40376
0.15	1.55595
0.152	1.73875
0.154	1.90184
0.156	2.01105
0.158	2.04705
0.16	2.00547
0.162	1.90041
0.164	1.76281
0.166	1.62297
0.168	1.50923
0.17	1.44514
0.172	1.44023
0.174	1.48991
0.176	1.58275
0.178	1.69883
0.18	1.80725
0.182	1.88329
0.184	1.91442
0.186	1.89831
0.188	1.84225
0.19	1.76118
0.192	1.67417
0.194	1.59982
0.196	1.55224
0.198	1.53836
0.2	1.55857
0.202	1.60792
0.204	1.67337
0.206	1.74002
0.208	1.7932
0.21	1.82426
0.212	1.82894
0.214	1.80749
0.216	1.7673
0.218	1.71721
0.22	1.66584
0.222	1.62494
0.224	1.60273
0.226	1.59969
0.228	1.61558
0.23	1.64676
0.232	1.68733
0.234	1.7278
