Time - Voltage (Resampled)	Amplitude - Voltage (Resampled)
0	1.7302
0.004	1.7284
0.008	1.71225
0.012	1.69246
0.016	1.67745
0.02	1.66342
0.024	1.66122
0.028	1.67495
0.032	1.69527
0.036	1.7144
0.04	1.72885
0.044	1.74318
0.048	1.74068
0.052	1.70552
0.056	1.65475
0.06	1.65853
0.064	1.69574
0.068	1.68566
0.072	1.63817
0.076	0.956815
0.08	0.347891
0.084	1.20839
0.088	2.1838
0.092	2.50091
0.096	2.32642
0.1	0.774585
0.104	0.287458
0.108	0.139932
0.112	1.57663
0.116	2.30038
0.12	2.51867
0.124	1.72721
0.128	0.6276
0.132	0.237958
0.136	0.65857
0.14	1.94886
0.144	2.42046
0.148	2.54344
0.152	1.16205
0.156	0.41527
0.16	0.166396
0.164	1.44263
0.168	2.27661
0.172	2.55135
0.176	2.03451
0.18	0.731195
0.184	0.271344
0.188	0.584051
0.192	1.95604
0.196	2.44472
0.2	2.59313
0.204	1.3351
0.208	0.466623
0.212	0.19217
0.216	1.31349
0.22	2.23459
0.224	2.53806
0.228	2.3345
0.232	0.857439
0.236	0.315312
0.24	0.511627
0.244	1.80847
0.248	2.39826
0.252	2.59274
0.256	1.73541
0.26	0.615653
0.264	0.290399
0.268	1.07255
0.272	2.13763
0.276	2.50519
0.28	2.39831
0.284	1.27831
0.288	0.516892
0.292	0.658178
0.296	1.64337
0.3	2.34657
0.304	2.55965
0.308	1.98726
0.312	1.07225
0.316	0.713537
0.32	1.14642
0.324	2.03644
0.328	2.47267
0.332	2.35597
0.336	1.63072
0.34	1.02518
0.344	0.998488
0.348	1.53765
0.352	2.1974
0.356	2.3971
0.36	2.02297
0.364	1.42504
0.368	1.1186
0.372	1.30371
0.376	1.81165
0.38	2.1824
0.384	2.14537
0.388	1.76015
0.392	1.36185
0.396	1.28216
0.4	1.5486
0.404	1.92199
0.408	2.08177
0.412	1.92897
0.416	1.61415
0.42	1.39951
0.424	1.45233
0.428	1.70465
0.432	1.93068
0.436	1.95405
0.44	1.77568
0.444	1.55651
0.448	1.47855
0.452	1.58788
0.456	1.78075
0.46	1.89114
0.464	1.84082
0.468	1.68304
0.472	1.55729
0.476	1.56056
0.48	1.67634
0.484	1.80257
0.488	1.83526
0.492	1.7604
0.496	1.64677
0.5	1.59215
0.504	1.62959
0.508	1.72012
0.512	1.78377
0.516	1.77489
0.52	1.71145
0.524	1.6479
0.528	1.63745
0.532	1.67916
0.536	1.73274
0.54	1.75634
0.544	1.73538
0.548	1.6908
0.552	1.66021
0.556	1.66771
0.56	1.69945
0.564	1.72861
0.568	1.73425
0.572	1.71473
0.576	1.6889
0.58	1.6772
0.584	1.68549
0.588	1.70281
0.592	1.71627
0.596	1.71704
0.6	1.70958
0.604	1.69885
0.608	1.69114
0.612	1.69206
0.616	1.698
0.62	1.70728
0.624	1.71371
0.628	1.71367
0.632	1.70527
0.636	1.69373
0.64	1.68745
0.644	1.69316
0.648	1.70555
0.652	1.71711
0.656	1.71571
0.66	1.70437
0.664	1.69155
0.668	1.68554
0.672	1.6955
0.676	1.70897
0.68	1.71824
0.684	1.71301
0.688	1.6977
0.692	1.6861
0.696	1.68704
0.7	1.70209
0.704	1.71797
0.708	1.72061
0.712	1.70795
0.716	1.68991
0.72	1.68315
0.724	1.69195
0.728	1.70981
0.732	1.71965
0.736	1.71466
0.74	1.69824
0.744	1.68555
0.748	1.68721
0.752	1.70336
0.756	1.71826
0.76	1.71895
0.764	1.70493
0.768	1.68826
0.772	1.68293
0.776	1.69317
0.78	1.71043
0.784	1.72119
0.788	1.71492
0.792	1.6983
0.796	1.68719
0.8	1.68859
0.804	1.70268
0.808	1.71515
0.812	1.71573
0.816	1.70391
0.82	1.69192
0.824	1.68683
0.828	1.69827
0.832	1.71176
0.836	1.71716
0.84	1.70925
0.844	1.69602
0.848	1.68841
0.852	1.69184
0.856	1.70427
0.86	1.71283
0.864	1.7132
0.868	1.70359
0.872	1.69451
0.876	1.69328
0.88	1.6983
0.884	1.70828
0.888	1.70997
0.892	1.70474
0.896	1.69753
0.9	1.69404
0.904	1.69746
0.908	1.70525
0.912	1.70982
0.916	1.70818
0.92	1.7012
0.924	1.69576
0.928	1.69504
0.932	1.70111
0.936	1.7082
0.94	1.70848
0.944	1.70388
0.948	1.69843
0.952	1.69686
0.956	1.70052
0.96	1.70466
0.964	1.70736
0.968	1.70554
0.972	1.70119
0.976	1.69806
